Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaísOrigen,Ventas
2005,Enero,Volkswagen , Amarok , Camiones ligeros , Pick Ups , Importado , Argentina,-
2005,Enero,Volkswagen , Beetle , Automóviles , Compactos , Nacional , México,392
2005,Enero,Volkswagen , Beetle Cabrio , Automóviles , Compactos , Nacional , México,33
2005,Enero,Volkswagen , Bora , Automóviles , Compactos , Nacional , México,219
2005,Enero,Volkswagen , Bora TDI , Automóviles , Compactos , Nacional , México,-
2005,Enero,Volkswagen , Crafter , Camiones ligeros , Pick Ups , Importado , Alemania,-
2005,Enero,Volkswagen , Crossfox , Automóviles , Subcompactos , Importado , Brasil,-
2005,Enero,Volkswagen , Derby , Automóviles , Subcompactos , Importado , Argentina,1302
2005,Enero,Volkswagen , EOS , Automóviles , De Lujo , Importado , Alemania,-
2005,Enero,Volkswagen , Eurovan Carga , Camiones ligeros , SUV's , Importado , Alemania,26
2005,Enero,Volkswagen , Eurovan Pasajeros , Camiones ligeros , SUV's , Importado , Alemania,4
2005,Enero,Volkswagen , Gol , Automóviles , Subcompactos , Importado , Brasil,-
2005,Enero,Volkswagen , Gol Sedan , Automóviles , Subcompactos , Importado , Brasil,-
2005,Enero,Volkswagen , Golf , Automóviles , Compactos , Importado , Brasil,139
2005,Enero,Volkswagen , Golf, Automóviles , Compactos , Nacional , México,-
2005,Enero,Volkswagen , Golf Gti , Automóviles , Deportivos , Importado , Alemania,32
2005,Enero,Volkswagen , Golf Variant, Automóviles ,Compactos,Nacional,México,-
2005,Enero,Volkswagen , Jetta , Automóviles , Compactos , Nacional , México,-
2005,Enero,Volkswagen , Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Enero,Volkswagen , Jetta 4 PTAS , Automóviles , Compactos , Nacional , México,3813
2005,Enero,Volkswagen , Lupo 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,272
2005,Enero,Volkswagen , Lupo 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,1184
2005,Enero,Volkswagen , Nuevo Jetta , Automóviles , Compactos , Nacional , México,-
2005,Enero,Volkswagen , Nuevo Jetta TDI , Automóviles , Compactos , Nacional , México,-
2005,Enero,Volkswagen , Otros Volkswagen , Camiones ligeros , SUV's , Nacional , México,-
2005,Enero,Volkswagen , Passat , Automóviles , De Lujo , Importado , Estados Unidos,100
2005,Enero,Volkswagen , Passat Cc , Automóviles , De Lujo , Importado , Estados Unidos,-
2005,Enero,Volkswagen , Pointer Pick Up , Camiones ligeros , Pick Ups , Importado , Brasil,159
2005,Enero,Volkswagen , Pointer Wagon , Automóviles , Compactos , Importado , Brasil,259
2005,Enero,Volkswagen , Pointer 2 Ptas , Automóviles , Subcompactos , Importado , Brasil,440
2005,Enero,Volkswagen , Pointer 4 Ptas , Automóviles , Subcompactos , Importado , Brasil,4029
2005,Enero,Volkswagen , Polo GTI , Automóviles , Subcompactos , Importado , España,-
2005,Enero,Volkswagen , Polo 4 Ptas , Automóviles , Subcompactos , Importado , India,1066
2005,Enero,Volkswagen , Polo 5 Ptas , Automóviles , Subcompactos , Importado , Brasil,85
2005,Enero,Volkswagen , Routan , Camiones ligeros , Minivans , Importado , Canadá,-
2005,Enero,Volkswagen , Saveiro , Camiones ligeros , Pick Ups , Importado , Brasil,-
2005,Enero,Volkswagen , Sedan , Automóviles , Subcompactos , Nacional , México,9
