Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaisOrigen,Ventas
2005,Enero,Volkswagen ,Amarok,Camiones_ligeros,Pick_Ups,Importado,Argentina,0
2005,Enero,Volkswagen ,Beetle,Automoviles,Compactos,Nacional,Mexico,392
2005,Enero,Volkswagen ,Beetle_Cabrio,Automoviles,Compactos,Nacional,Mexico,33
2005,Enero,Volkswagen ,Bora,Automoviles,Compactos,Nacional,Mexico,219
2005,Enero,Volkswagen ,Bora_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Enero,Volkswagen ,Crafter,Camiones_ligeros,Pick_Ups,Importado,Alemania,0
2005,Enero,Volkswagen ,Crossfox,Automoviles,Subcompactos,Importado,Brasil,0
2005,Enero,Volkswagen ,Derby,Automoviles,Subcompactos,Importado,Argentina,1302
2005,Enero,Volkswagen ,EOS,Automoviles,De_Lujo,Importado,Alemania,0
2005,Enero,Volkswagen ,Eurovan_Carga,Camiones_ligeros,SUVs,Importado,Alemania,26
2005,Enero,Volkswagen ,Eurovan_Pasajeros,Camiones_ligeros,SUVs,Importado,Alemania,4
2005,Enero,Volkswagen ,Gol,Automoviles,Subcompactos,Importado,Brasil,0
2005,Enero,Volkswagen ,Gol_Sedan,Automoviles,Subcompactos,Importado,Brasil,0
2005,Enero,Volkswagen ,Golf,Automoviles,Compactos,Importado,Brasil,139
2005,Enero,Volkswagen ,Golf,Automoviles,Compactos,Nacional,Mexico,0
2005,Enero,Volkswagen ,Golf_Gti,Automoviles,Deportivos,Importado,Alemania,32
2005,Enero,Volkswagen ,Golf_Variant,Automoviles,Compactos,Nacional,Mexico,0
2005,Enero,Volkswagen ,Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Enero,Volkswagen ,Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
2005,Enero,Volkswagen ,Jetta_4_PTAS,Automoviles,Compactos,Nacional,Mexico,3813
2005,Enero,Volkswagen ,Lupo_2_Ptas,Automoviles,Subcompactos,Importado,Brasil,272
2005,Enero,Volkswagen ,Lupo_4_Ptas,Automoviles,Subcompactos,Importado,Brasil,1184
2005,Enero,Volkswagen ,Nuevo_Jetta,Automoviles,Compactos,Nacional,Mexico,0
2005,Enero,Volkswagen ,Nuevo_Jetta_TDI,Automoviles,Compactos,Nacional,Mexico,0
